Source;Target;Type;Weight
1;52;undirected;1
2;102;undirected;1
3;4;undirected;1
3;1;undirected;1
4;1;undirected;1
3;4;undirected;1
3;2;undirected;1
3;1;undirected;1
4;2;undirected;1
4;1;undirected;1
2;1;undirected;1
3;4;undirected;1
3;2;undirected;1
3;1;undirected;1
4;2;undirected;1
4;1;undirected;1
2;1;undirected;1
5;2;undirected;1
6;94;undirected;1
7;8;undirected;1
7;103;undirected;1
8;103;undirected;1
2;104;undirected;1
3;4;undirected;1
3;1;undirected;1
4;1;undirected;1
2;9;undirected;1
2;10;undirected;1
2;105;undirected;1
9;10;undirected;1
9;105;undirected;1
10;105;undirected;1
11;52;undirected;1
2;52;undirected;1
12;2;undirected;1
2;1;undirected;1
13;6;undirected;1
14;2;undirected;1
15;16;undirected;1
15;17;undirected;1
15;106;undirected;1
16;17;undirected;1
16;106;undirected;1
17;106;undirected;1
12;107;undirected;1
18;19;undirected;1
18;2;undirected;1
18;108;undirected;1
19;2;undirected;1
19;108;undirected;1
2;108;undirected;1
19;109;undirected;1
20;110;undirected;1
21;22;undirected;1
21;111;undirected;1
22;111;undirected;1
23;74;undirected;1
24;12;undirected;1
25;112;undirected;1
3;1;undirected;1
3;2;undirected;1
3;1;undirected;1
2;1;undirected;1
3;17;undirected;1
26;66;undirected;1
2;1;undirected;1
2;52;undirected;1
1;52;undirected;1
27;38;undirected;1
8;113;undirected;1
2;1;undirected;1
2;52;undirected;1
28;114;undirected;1
5;2;undirected;1
12;2;undirected;1
5;2;undirected;1
5;2;undirected;1
29;2;undirected;1
3;2;undirected;1
3;28;undirected;1
2;28;undirected;1
28;115;undirected;1
30;116;undirected;1
31;117;undirected;1
5;2;undirected;1
5;2;undirected;1
5;2;undirected;1
5;2;undirected;1
12;2;undirected;1
5;2;undirected;1
32;118;undirected;1
33;28;undirected;1
34;119;undirected;1
35;110;undirected;1
29;2;undirected;1
29;2;undirected;1
24;2;undirected;1
24;2;undirected;1
36;120;undirected;1
17;121;undirected;1
17;121;undirected;1
3;37;undirected;1
3;2;undirected;1
37;2;undirected;1
3;2;undirected;1
37;38;undirected;1
37;52;undirected;1
38;52;undirected;1
3;2;undirected;1
39;2;undirected;1
25;74;undirected;1
40;122;undirected;1
36;123;undirected;1
5;2;undirected;1
5;81;undirected;1
2;81;undirected;1
41;124;undirected;1
2;125;undirected;1
42;126;undirected;1
43;127;undirected;1
41;128;undirected;1
3;17;undirected;1
44;45;undirected;1
44;17;undirected;1
45;17;undirected;1
2;1;undirected;1
2;52;undirected;1
1;52;undirected;1
18;46;undirected;1
18;47;undirected;1
18;2;undirected;1
46;47;undirected;1
46;2;undirected;1
47;2;undirected;1
48;19;undirected;1
2;74;undirected;1
3;17;undirected;1
49;41;undirected;1
12;41;undirected;1
50;51;undirected;1
50;52;undirected;1
50;129;undirected;1
51;52;undirected;1
51;129;undirected;1
52;129;undirected;1
53;130;undirected;1
8;54;undirected;1
8;131;undirected;1
54;131;undirected;1
3;17;undirected;1
55;56;undirected;1
55;57;undirected;1
55;58;undirected;1
55;88;undirected;1
56;57;undirected;1
56;58;undirected;1
56;88;undirected;1
57;58;undirected;1
57;88;undirected;1
58;88;undirected;1
3;99;undirected;1
2;1;undirected;1
18;2;undirected;1
59;132;undirected;1
41;116;undirected;1
17;133;undirected;1
7;11;undirected;1
41;2;undirected;1
41;94;undirected;1
2;94;undirected;1
41;134;undirected;1
60;135;undirected;1
41;124;undirected;1
41;94;undirected;1
7;8;undirected;1
7;61;undirected;1
7;136;undirected;1
8;61;undirected;1
8;136;undirected;1
61;136;undirected;1
62;63;undirected;1
62;137;undirected;1
63;137;undirected;1
2;138;undirected;1
5;2;undirected;1
23;74;undirected;1
23;74;undirected;1
64;28;undirected;1
41;134;undirected;1
14;2;undirected;1
23;65;undirected;1
23;139;undirected;1
65;139;undirected;1
3;17;undirected;1
5;2;undirected;1
27;38;undirected;1
66;52;undirected;1
67;68;undirected;1
67;7;undirected;1
67;140;undirected;1
68;7;undirected;1
68;140;undirected;1
7;140;undirected;1
8;131;undirected;1
2;74;undirected;1
69;70;undirected;1
69;71;undirected;1
69;72;undirected;1
69;141;undirected;1
70;71;undirected;1
70;72;undirected;1
70;141;undirected;1
71;72;undirected;1
71;141;undirected;1
72;141;undirected;1
73;123;undirected;1
37;28;undirected;1
74;142;undirected;1
5;2;undirected;1
17;121;undirected;1
17;121;undirected;1
39;2;undirected;1
3;4;undirected;1
3;1;undirected;1
4;1;undirected;1
3;17;undirected;1
75;143;undirected;1
41;134;undirected;1
64;28;undirected;1
15;76;undirected;1
15;17;undirected;1
76;17;undirected;1
7;77;undirected;1
7;38;undirected;1
7;78;undirected;1
7;144;undirected;1
77;38;undirected;1
77;78;undirected;1
77;144;undirected;1
38;78;undirected;1
38;144;undirected;1
78;144;undirected;1
2;1;undirected;1
79;52;undirected;1
3;17;undirected;1
7;8;undirected;1
12;145;undirected;1
64;28;undirected;1
41;94;undirected;1
41;134;undirected;1
3;2;undirected;1
3;1;undirected;1
2;1;undirected;1
24;18;undirected;1
24;3;undirected;1
24;80;undirected;1
24;146;undirected;1
18;3;undirected;1
18;80;undirected;1
18;146;undirected;1
3;80;undirected;1
3;146;undirected;1
80;146;undirected;1
27;38;undirected;1
4;147;undirected;1
3;17;undirected;1
52;148;undirected;1
19;2;undirected;1
19;81;undirected;1
19;26;undirected;1
2;81;undirected;1
2;26;undirected;1
81;26;undirected;1
14;2;undirected;1
5;2;undirected;1
7;8;undirected;1
7;8;undirected;1
7;149;undirected;1
8;149;undirected;1
12;52;undirected;1
82;28;undirected;1
12;145;undirected;1
2;1;undirected;1
2;1;undirected;1
83;52;undirected;1
3;2;undirected;1
84;150;undirected;1
2;74;undirected;1
85;2;undirected;1
85;151;undirected;1
2;151;undirected;1
3;2;undirected;1
2;1;undirected;1
2;1;undirected;1
14;2;undirected;1
86;4;undirected;1
21;22;undirected;1
21;111;undirected;1
22;111;undirected;1
67;7;undirected;1
67;11;undirected;1
67;152;undirected;1
7;11;undirected;1
7;152;undirected;1
11;152;undirected;1
3;17;undirected;1
5;2;undirected;1
87;28;undirected;1
3;4;undirected;1
3;1;undirected;1
4;1;undirected;1
11;153;undirected;1
11;153;undirected;1
55;56;undirected;1
55;88;undirected;1
55;89;undirected;1
55;154;undirected;1
56;88;undirected;1
56;89;undirected;1
56;154;undirected;1
88;89;undirected;1
88;154;undirected;1
89;154;undirected;1
11;74;undirected;1
37;2;undirected;1
90;2;undirected;1
14;2;undirected;1
15;76;undirected;1
2;1;undirected;1
2;52;undirected;1
1;52;undirected;1
2;1;undirected;1
2;81;undirected;1
32;118;undirected;1
91;37;undirected;1
5;2;undirected;1
3;4;undirected;1
3;1;undirected;1
4;1;undirected;1
12;74;undirected;1
3;2;undirected;1
8;92;undirected;1
8;155;undirected;1
92;155;undirected;1
14;2;undirected;1
14;93;undirected;1
14;66;undirected;1
2;93;undirected;1
2;66;undirected;1
93;66;undirected;1
24;15;undirected;1
24;94;undirected;1
24;17;undirected;1
15;94;undirected;1
15;17;undirected;1
94;17;undirected;1
2;1;undirected;1
95;156;undirected;1
2;157;undirected;1
96;2;undirected;1
96;2;undirected;1
96;158;undirected;1
2;158;undirected;1
62;63;undirected;1
62;137;undirected;1
63;137;undirected;1
3;17;undirected;1
41;124;undirected;1
11;159;undirected;1
2;160;undirected;1
2;160;undirected;1
2;160;undirected;1
1;52;undirected;1
2;1;undirected;1
39;1;undirected;1
97;161;undirected;1
12;2;undirected;1
3;17;undirected;1
3;17;undirected;1
3;145;undirected;1
17;145;undirected;1
2;1;undirected;1
3;17;undirected;1
12;145;undirected;1
12;2;undirected;1
32;118;undirected;1
31;117;undirected;1
3;17;undirected;1
91;37;undirected;1
41;124;undirected;1
37;28;undirected;1
37;28;undirected;1
41;124;undirected;1
7;8;undirected;1
7;103;undirected;1
8;103;undirected;1
31;117;undirected;1
41;124;undirected;1
98;83;undirected;1
3;4;undirected;1
3;99;undirected;1
3;1;undirected;1
4;99;undirected;1
4;1;undirected;1
99;1;undirected;1
