Source;Target;Type;Weight
1;2;undirected;1
1;3;undirected;1
1;66;undirected;1
2;3;undirected;1
2;66;undirected;1
3;66;undirected;1
4;5;undirected;1
4;67;undirected;1
5;67;undirected;1
6;68;undirected;1
7;8;undirected;1
7;9;undirected;1
7;10;undirected;1
7;11;undirected;1
7;69;undirected;1
8;9;undirected;1
8;10;undirected;1
8;11;undirected;1
8;69;undirected;1
9;10;undirected;1
9;11;undirected;1
9;69;undirected;1
10;11;undirected;1
10;69;undirected;1
11;69;undirected;1
12;18;undirected;1
2;3;undirected;1
13;70;undirected;1
14;15;undirected;1
14;16;undirected;1
14;71;undirected;1
15;16;undirected;1
15;71;undirected;1
16;71;undirected;1
17;72;undirected;1
18;71;undirected;1
5;73;undirected;1
19;11;undirected;1
20;51;undirected;1
21;74;undirected;1
22;18;undirected;1
23;75;undirected;1
24;76;undirected;1
25;71;undirected;1
12;18;undirected;1
26;68;undirected;1
12;18;undirected;1
12;77;undirected;1
18;77;undirected;1
2;18;undirected;1
18;71;undirected;1
4;78;undirected;1
15;27;undirected;1
15;44;undirected;1
27;44;undirected;1
28;5;undirected;1
18;77;undirected;1
29;15;undirected;1
29;71;undirected;1
15;71;undirected;1
9;30;undirected;1
9;11;undirected;1
30;11;undirected;1
31;79;undirected;1
32;80;undirected;1
28;5;undirected;1
28;5;undirected;1
33;81;undirected;1
34;35;undirected;1
34;36;undirected;1
34;37;undirected;1
34;82;undirected;1
35;36;undirected;1
35;37;undirected;1
35;82;undirected;1
36;37;undirected;1
36;82;undirected;1
37;82;undirected;1
19;38;undirected;1
19;39;undirected;1
19;73;undirected;1
38;39;undirected;1
38;73;undirected;1
39;73;undirected;1
40;70;undirected;1
18;77;undirected;1
18;71;undirected;1
41;83;undirected;1
42;84;undirected;1
43;68;undirected;1
15;27;undirected;1
15;44;undirected;1
15;85;undirected;1
27;44;undirected;1
27;85;undirected;1
44;85;undirected;1
18;77;undirected;1
45;86;undirected;1
46;87;undirected;1
47;5;undirected;1
47;88;undirected;1
5;88;undirected;1
15;27;undirected;1
15;27;undirected;1
19;33;undirected;1
19;48;undirected;1
19;49;undirected;1
19;50;undirected;1
19;51;undirected;1
19;89;undirected;1
33;48;undirected;1
33;49;undirected;1
33;50;undirected;1
33;51;undirected;1
33;89;undirected;1
48;49;undirected;1
48;50;undirected;1
48;51;undirected;1
48;89;undirected;1
49;50;undirected;1
49;51;undirected;1
49;89;undirected;1
50;51;undirected;1
50;89;undirected;1
51;89;undirected;1
52;53;undirected;1
52;54;undirected;1
52;55;undirected;1
52;56;undirected;1
52;90;undirected;1
53;54;undirected;1
53;55;undirected;1
53;56;undirected;1
53;90;undirected;1
54;55;undirected;1
54;56;undirected;1
54;90;undirected;1
55;56;undirected;1
55;90;undirected;1
56;90;undirected;1
57;58;undirected;1
57;59;undirected;1
57;84;undirected;1
58;59;undirected;1
58;84;undirected;1
59;84;undirected;1
19;91;undirected;1
60;92;undirected;1
61;93;undirected;1
62;63;undirected;1
62;12;undirected;1
63;12;undirected;1
30;11;undirected;1
4;78;undirected;1
64;94;undirected;1
19;12;undirected;1
19;26;undirected;1
19;18;undirected;1
12;26;undirected;1
12;18;undirected;1
26;18;undirected;1
63;71;undirected;1
63;15;undirected;1
63;71;undirected;1
15;71;undirected;1
65;5;undirected;1
