Source;Target;Type;Weight
1;2;undirected;1
1;3;undirected;1
1;4;undirected;1
1;5;undirected;1
1;170;undirected;1
2;3;undirected;1
2;4;undirected;1
2;5;undirected;1
2;170;undirected;1
3;4;undirected;1
3;5;undirected;1
3;170;undirected;1
4;5;undirected;1
4;170;undirected;1
5;170;undirected;1
6;7;undirected;1
6;8;undirected;1
6;9;undirected;1
6;10;undirected;1
6;11;undirected;1
6;171;undirected;1
7;8;undirected;1
7;9;undirected;1
7;10;undirected;1
7;11;undirected;1
7;171;undirected;1
8;9;undirected;1
8;10;undirected;1
8;11;undirected;1
8;171;undirected;1
9;10;undirected;1
9;11;undirected;1
9;171;undirected;1
10;11;undirected;1
10;171;undirected;1
11;171;undirected;1
12;13;undirected;1
12;13;undirected;1
12;14;undirected;1
12;15;undirected;1
12;16;undirected;1
12;17;undirected;1
12;172;undirected;1
13;14;undirected;1
13;15;undirected;1
13;16;undirected;1
13;17;undirected;1
13;172;undirected;1
14;15;undirected;1
14;16;undirected;1
14;17;undirected;1
14;172;undirected;1
15;16;undirected;1
15;17;undirected;1
15;172;undirected;1
16;17;undirected;1
16;172;undirected;1
17;172;undirected;1
12;173;undirected;1
12;18;undirected;1
12;19;undirected;1
12;174;undirected;1
18;19;undirected;1
18;174;undirected;1
19;174;undirected;1
12;20;undirected;1
12;21;undirected;1
12;69;undirected;1
20;21;undirected;1
20;69;undirected;1
21;69;undirected;1
12;175;undirected;1
12;176;undirected;1
12;177;undirected;1
12;104;undirected;1
22;178;undirected;1
22;179;undirected;1
22;179;undirected;1
23;180;undirected;1
24;181;undirected;1
25;182;undirected;1
26;183;undirected;1
27;184;undirected;1
28;185;undirected;1
29;30;undirected;1
29;186;undirected;1
30;186;undirected;1
31;32;undirected;1
31;33;undirected;1
31;34;undirected;1
31;187;undirected;1
32;33;undirected;1
32;34;undirected;1
32;187;undirected;1
33;34;undirected;1
33;187;undirected;1
34;187;undirected;1
35;188;undirected;1
36;37;undirected;1
36;37;undirected;1
36;189;undirected;1
37;189;undirected;1
38;190;undirected;1
39;183;undirected;1
40;191;undirected;1
41;42;undirected;1
41;192;undirected;1
42;192;undirected;1
43;193;undirected;1
44;45;undirected;1
44;46;undirected;1
44;194;undirected;1
45;46;undirected;1
45;194;undirected;1
46;194;undirected;1
44;45;undirected;1
