Source;Target;Type;Weight
1;1;undirected;1
1;1;undirected;1
2;2;undirected;1
3;76;undirected;1
4;4;undirected;1
5;5;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;11;undirected;1
6;167;undirected;1
6;588;undirected;1
6;859;undirected;1
11;167;undirected;1
11;588;undirected;1
11;859;undirected;1
167;588;undirected;1
167;859;undirected;1
588;859;undirected;1
6;38;undirected;1
6;244;undirected;1
6;523;undirected;1
6;658;undirected;1
244;523;undirected;1
244;658;undirected;1
523;658;undirected;1
6;404;undirected;1
7;7;undirected;1
7;86;undirected;1
7;529;undirected;1
8;8;undirected;1
9;9;undirected;1
10;10;undirected;1
10;10;undirected;1
10;10;undirected;1
10;10;undirected;1
10;10;undirected;1
10;10;undirected;1
10;10;undirected;1
10;11;undirected;1
10;404;undirected;1
10;405;undirected;1
404;405;undirected;1
10;572;undirected;1
11;11;undirected;1
11;11;undirected;1
11;11;undirected;1
11;11;undirected;1
11;11;undirected;1
11;11;undirected;1
11;11;undirected;1
11;11;undirected;1
11;11;undirected;1
11;251;undirected;1
11;342;undirected;1
11;404;undirected;1
251;342;undirected;1
251;404;undirected;1
342;404;undirected;1
11;308;undirected;1
11;404;undirected;1
11;591;undirected;1
308;404;undirected;1
308;591;undirected;1
404;591;undirected;1
11;404;undirected;1
12;12;undirected;1
13;13;undirected;1
13;13;undirected;1
14;14;undirected;1
14;14;undirected;1
14;14;undirected;1
14;14;undirected;1
14;14;undirected;1
14;14;undirected;1
15;236;undirected;1
15;374;undirected;1
15;396;undirected;1
15;409;undirected;1
15;623;undirected;1
236;374;undirected;1
236;396;undirected;1
236;409;undirected;1
236;623;undirected;1
374;396;undirected;1
374;409;undirected;1
374;623;undirected;1
396;409;undirected;1
396;623;undirected;1
409;623;undirected;1
16;16;undirected;1
17;17;undirected;1
17;17;undirected;1
17;17;undirected;1
17;17;undirected;1
17;17;undirected;1
17;17;undirected;1
17;334;undirected;1
18;18;undirected;1
18;18;undirected;1
18;86;undirected;1
18;213;undirected;1
18;540;undirected;1
86;213;undirected;1
86;540;undirected;1
213;540;undirected;1
18;603;undirected;1
19;19;undirected;1
20;406;undirected;1
20;862;undirected;1
406;862;undirected;1
20;406;undirected;1
20;862;undirected;1
406;862;undirected;1
21;21;undirected;1
22;23;undirected;1
24;24;undirected;1
24;89;undirected;1
24;183;undirected;1
24;212;undirected;1
24;387;undirected;1
24;455;undirected;1
24;685;undirected;1
89;183;undirected;1
89;212;undirected;1
89;387;undirected;1
89;455;undirected;1
89;685;undirected;1
183;212;undirected;1
183;387;undirected;1
183;455;undirected;1
183;685;undirected;1
212;387;undirected;1
212;455;undirected;1
212;685;undirected;1
387;455;undirected;1
387;685;undirected;1
455;685;undirected;1
25;25;undirected;1
26;698;undirected;1
27;85;undirected;1
27;178;undirected;1
27;474;undirected;1
27;649;undirected;1
85;178;undirected;1
85;474;undirected;1
85;649;undirected;1
178;474;undirected;1
178;649;undirected;1
474;649;undirected;1
28;28;undirected;1
29;543;undirected;1
30;30;undirected;1
31;31;undirected;1
32;32;undirected;1
33;215;undirected;1
33;838;undirected;1
215;838;undirected;1
34;522;undirected;1
35;35;undirected;1
35;572;undirected;1
36;36;undirected;1
37;121;undirected;1
37;232;undirected;1
37;278;undirected;1
37;479;undirected;1
37;648;undirected;1
37;839;undirected;1
121;232;undirected;1
121;278;undirected;1
121;479;undirected;1
121;648;undirected;1
121;839;undirected;1
232;278;undirected;1
232;479;undirected;1
232;648;undirected;1
232;839;undirected;1
278;479;undirected;1
278;648;undirected;1
278;839;undirected;1
479;648;undirected;1
479;839;undirected;1
648;839;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;38;undirected;1
38;44;undirected;1
38;76;undirected;1
38;508;undirected;1
38;522;undirected;1
38;523;undirected;1
38;698;undirected;1
38;702;undirected;1
44;76;undirected;1
44;508;undirected;1
44;522;undirected;1
44;523;undirected;1
44;698;undirected;1
44;702;undirected;1
76;508;undirected;1
76;522;undirected;1
76;523;undirected;1
76;698;undirected;1
76;702;undirected;1
508;522;undirected;1
508;523;undirected;1
508;698;undirected;1
508;702;undirected;1
522;523;undirected;1
522;698;undirected;1
522;702;undirected;1
523;698;undirected;1
523;702;undirected;1
698;702;undirected;1
38;76;undirected;1
38;76;undirected;1
