Source;Target;Type;Weight
1;1;undirected;1
1;1;undirected;1
2;2;undirected;1
3;68;undirected;1
4;4;undirected;1
5;5;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;6;undirected;1
6;7;undirected;1
6;8;undirected;1
6;9;undirected;1
6;720;undirected;1
7;8;undirected;1
7;9;undirected;1
7;720;undirected;1
8;9;undirected;1
8;720;undirected;1
9;720;undirected;1
6;66;undirected;1
6;10;undirected;1
6;11;undirected;1
6;161;undirected;1
10;11;undirected;1
10;161;undirected;1
11;161;undirected;1
6;16;undirected;1
12;12;undirected;1
12;31;undirected;1
12;407;undirected;1
13;13;undirected;1
14;14;undirected;1
15;15;undirected;1
15;15;undirected;1
15;15;undirected;1
15;15;undirected;1
15;15;undirected;1
15;15;undirected;1
15;15;undirected;1
15;721;undirected;1
15;16;undirected;1
15;268;undirected;1
16;268;undirected;1
15;574;undirected;1
7;7;undirected;1
7;7;undirected;1
7;7;undirected;1
7;7;undirected;1
7;7;undirected;1
7;7;undirected;1
7;7;undirected;1
7;7;undirected;1
7;7;undirected;1
7;17;undirected;1
7;18;undirected;1
7;16;undirected;1
17;18;undirected;1
17;16;undirected;1
18;16;undirected;1
7;19;undirected;1
7;16;undirected;1
7;722;undirected;1
19;16;undirected;1
19;722;undirected;1
16;722;undirected;1
7;16;undirected;1
20;20;undirected;1
21;21;undirected;1
21;21;undirected;1
22;22;undirected;1
22;22;undirected;1
22;22;undirected;1
22;22;undirected;1
22;22;undirected;1
22;22;undirected;1
23;24;undirected;1
23;25;undirected;1
23;26;undirected;1
23;27;undirected;1
23;723;undirected;1
24;25;undirected;1
24;26;undirected;1
24;27;undirected;1
24;723;undirected;1
25;26;undirected;1
25;27;undirected;1
25;723;undirected;1
26;27;undirected;1
26;723;undirected;1
27;723;undirected;1
28;28;undirected;1
29;29;undirected;1
29;29;undirected;1
29;29;undirected;1
29;29;undirected;1
29;29;undirected;1
29;29;undirected;1
29;724;undirected;1
30;30;undirected;1
30;30;undirected;1
30;31;undirected;1
30;32;undirected;1
30;98;undirected;1
31;32;undirected;1
31;98;undirected;1
32;98;undirected;1
30;593;undirected;1
33;33;undirected;1
34;35;undirected;1
34;725;undirected;1
35;725;undirected;1
34;35;undirected;1
34;725;undirected;1
35;725;undirected;1
36;36;undirected;1
37;726;undirected;1
38;38;undirected;1
38;39;undirected;1
38;40;undirected;1
38;41;undirected;1
38;42;undirected;1
38;43;undirected;1
38;727;undirected;1
39;40;undirected;1
39;41;undirected;1
39;42;undirected;1
39;43;undirected;1
39;727;undirected;1
40;41;undirected;1
40;42;undirected;1
40;43;undirected;1
40;727;undirected;1
41;42;undirected;1
41;43;undirected;1
41;727;undirected;1
42;43;undirected;1
42;727;undirected;1
43;727;undirected;1
44;44;undirected;1
45;71;undirected;1
46;47;undirected;1
46;48;undirected;1
46;49;undirected;1
46;728;undirected;1
47;48;undirected;1
47;49;undirected;1
47;728;undirected;1
48;49;undirected;1
48;728;undirected;1
49;728;undirected;1
50;50;undirected;1
51;553;undirected;1
52;52;undirected;1
53;53;undirected;1
54;54;undirected;1
55;56;undirected;1
55;729;undirected;1
56;729;undirected;1
57;70;undirected;1
58;58;undirected;1
58;574;undirected;1
59;59;undirected;1
60;61;undirected;1
60;62;undirected;1
60;63;undirected;1
60;64;undirected;1
60;65;undirected;1
60;730;undirected;1
61;62;undirected;1
61;63;undirected;1
61;64;undirected;1
61;65;undirected;1
61;730;undirected;1
62;63;undirected;1
62;64;undirected;1
62;65;undirected;1
62;730;undirected;1
63;64;undirected;1
63;65;undirected;1
63;730;undirected;1
64;65;undirected;1
64;730;undirected;1
65;730;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;66;undirected;1
66;67;undirected;1
66;68;undirected;1
66;69;undirected;1
66;70;undirected;1
66;11;undirected;1
66;71;undirected;1
66;731;undirected;1
67;68;undirected;1
67;69;undirected;1
67;70;undirected;1
67;11;undirected;1
67;71;undirected;1
67;731;undirected;1
68;69;undirected;1
68;70;undirected;1
68;11;undirected;1
68;71;undirected;1
68;731;undirected;1
69;70;undirected;1
69;11;undirected;1
69;71;undirected;1
69;731;undirected;1
70;11;undirected;1
70;71;undirected;1
70;731;undirected;1
11;71;undirected;1
11;731;undirected;1
71;731;undirected;1
66;68;undirected;1
66;68;undirected;1
